# Missing zh-CN tag translations
# Format: <id>	<canonical ja name>	<your zh-CN here>	<hint>
# Add each as an entry in frontend/src/i18n/tags/zh-CN.json:
#   "<canonical ja name>": "<zh-CN translation>"
# Total: 52 of 298 canonical tags missing zh-CN
# "kanji-shared" = Japanese kanji reads as Chinese already; probably no fill needed

3	屋外		kanji-shared (likely fine as-is)
8	日常/生活		kanji-shared (likely fine as-is)
29	魔法少女		kanji-shared (likely fine as-is)
31	同居		kanji-shared (likely fine as-is)
53	健全		kanji-shared (likely fine as-is)
74	制服		kanji-shared (likely fine as-is)
80	巫女		kanji-shared (likely fine as-is)
130	母乳		kanji-shared (likely fine as-is)
136	SM		other (needs translation)
142	淫乱		kanji-shared (likely fine as-is)
143	露出		kanji-shared (likely fine as-is)
146	拘束		kanji-shared (likely fine as-is)
158	百合		kanji-shared (likely fine as-is)
162	触手		kanji-shared (likely fine as-is)
182	巨乳/爆乳		kanji-shared (likely fine as-is)
191	巨根		kanji-shared (likely fine as-is)
196	方言		kanji-shared (likely fine as-is)
200	人体改造		kanji-shared (likely fine as-is)
204	血液/流血		kanji-shared (likely fine as-is)
206	少女		kanji-shared (likely fine as-is)
209	年上		kanji-shared (likely fine as-is)
219	人妻		kanji-shared (likely fine as-is)
232	OL		other (needs translation)
240	魔法少女		kanji-shared (likely fine as-is)
243	妖怪		kanji-shared (likely fine as-is)
250	女体化		kanji-shared (likely fine as-is)
284	警察/刑事		kanji-shared (likely fine as-is)
296	シリーズもの		katakana (needs translation)
300	丸吞		kanji-shared (likely fine as-is)
304	おやじ		other (needs translation)
322	包茎		kanji-shared (likely fine as-is)
400	学生		kanji-shared (likely fine as-is)
412	外国人		kanji-shared (likely fine as-is)
424	上司		kanji-shared (likely fine as-is)
432	女主人公		kanji-shared (likely fine as-is)
461	尿道		kanji-shared (likely fine as-is)
497	ASMR		other (needs translation)
501	潮吹		kanji-shared (likely fine as-is)
502	男主人公		kanji-shared (likely fine as-is)
513	VTuber		other (needs translation)
530	逆NTR		kanji-shared (likely fine as-is)
636	添い寝		kanji-shared (likely fine as-is)
637	キス		katakana (needs translation)
638	耳ふー		katakana (needs translation)
639	睡眠導入		kanji-shared (likely fine as-is)
641	ゲップ		katakana (needs translation)
643	人格排泄		kanji-shared (likely fine as-is)
644	BSS		other (needs translation)
648	淫紋		kanji-shared (likely fine as-is)
659	マッサージ		katakana (needs translation)
660	ダウナー		katakana (needs translation)
661	常識改変		kanji-shared (likely fine as-is)
